"doi","article_id","title","year","license_url","pdf_file","xml_file","pdf_exists","xml_exists","in_rds","grobid_version","conversion_date"
"10.1177/0956797620931108","0956797620931108","Revisiting the Suffixing Preference: Native-Language Affixation Patterns Influence Perception of Sequences","2020","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620931108.pdf","xml/psychsci_oa.0956797620931108.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620939054","0956797620939054","Fighting COVID-19 Misinformation on Social Media: Experimental Evidence for a Scalable Accuracy-Nudge Intervention","2020","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620939054.pdf","xml/psychsci_oa.0956797620939054.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620941840","0956797620941840","Enhancing the Wisdom of the Crowd With Cognitive-Process Diversity: The Benefits of Aggregating Intuitive and Analytical Judgments","2020","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620941840.pdf","xml/psychsci_oa.0956797620941840.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620948821","0956797620948821","Moral Choice When Harming Is Unavoidable","2020","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620948821.pdf","xml/psychsci_oa.0956797620948821.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620951115","0956797620951115","The Well-Being Benefits of Person-Culture Match Are Contingent on Basic Personality Traits","2020","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620951115.pdf","xml/psychsci_oa.0956797620951115.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620954815","0956797620954815","Automatic Guidance (and Misguidance) of Visuospatial Attention by Acquired Scene Memory: Evidence From an N1pc Polarity Reversal","2020","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620954815.pdf","xml/psychsci_oa.0956797620954815.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620955209","0956797620955209","Preregistered Direct Replication of “Sick Body, Vigilant Mind: The Biological Immune System Activates the Behavioral Immune System”","2020","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620955209.pdf","xml/psychsci_oa.0956797620955209.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620957625","0956797620957625","Prosocial Influence and Opportunistic Conformity in Adolescents and Young Adults","2020","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620957625.pdf","xml/psychsci_oa.0956797620957625.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620958638","0956797620958638","Keeping an Eye on Effort: A Pupillometric Investigation of Effort and Effortlessness in Visual Word Recognition","2021","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620958638.pdf","xml/psychsci_oa.0956797620958638.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620958650","0956797620958650","Expectancy Violation Drives Memory Boost for Stressful Events","2020","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620958650.pdf","xml/psychsci_oa.0956797620958650.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620959014","0956797620959014","Why Is an Early Start of Training Related to Musical Skills in Adulthood? A Genetically Informative Study","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620959014.pdf","xml/psychsci_oa.0956797620959014.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620960011","0956797620960011","Behavioral Immune Trade-Offs: Interpersonal Value Relaxes Social Pathogen Avoidance","2020","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620960011.pdf","xml/psychsci_oa.0956797620960011.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620960392","0956797620960392","Dissociating Representations of Time and Number in Reinforcement-Rate Learning by Deletion of the GluA1 AMPA Receptor Subunit in Mice","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620960392.pdf","xml/psychsci_oa.0956797620960392.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620960396","0956797620960396","Never Too Much—The Benefit of Talent to Team Performance in the National Basketball Association: Comment on Swaab, Schaerer, Anicich, Ronay, and Galinsky (2014)","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620960396.pdf","xml/psychsci_oa.0956797620960396.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620963612","0956797620963612","Preparing for the Worst: Attention is Enhanced Prior to Any Upcoming Emotional or Neutral Stimulus","2021","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620963612.pdf","xml/psychsci_oa.0956797620963612.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620963615","0956797620963615","The Lure of Counterfactual Curiosity: People Incur a Cost to Experience Regret","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620963615.pdf","xml/psychsci_oa.0956797620963615.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620965520","0956797620965520","Alertness Training Increases Visual Processing Speed in Healthy Older Adults","2021","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620965520.pdf","xml/psychsci_oa.0956797620965520.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620965536","0956797620965536","Narcissism and Leadership in Children","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620965536.pdf","xml/psychsci_oa.0956797620965536.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620968789","0956797620968789","A Tale of Two Modalities: Sign and Speech Influence Each Other in Bimodal Bilinguals","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620968789.pdf","xml/psychsci_oa.0956797620968789.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620968790","0956797620968790","The Dramatic Impact of Explicit Instruction on Learning to Read in a New Writing System","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620968790.pdf","xml/psychsci_oa.0956797620968790.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620970548","0956797620970548","Titrating the Smell of Fear: Initial Evidence for Dose-Invariant Behavioral, Physiological, and Neural Responses","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620970548.pdf","xml/psychsci_oa.0956797620970548.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620970559","0956797620970559","Effects of Time-Varying Parent Input on Children’s Language Outcomes Differ for Vocabulary and Syntax","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620970559.pdf","xml/psychsci_oa.0956797620970559.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620971298","0956797620971298","Physical Strength Partly Explains Sex Differences in Trait Anxiety in Young Americans","2021","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620971298.pdf","xml/psychsci_oa.0956797620971298.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620971652","0956797620971652","Does Neuronal Recycling Result in Destructive Competition? The Influence of Learning to Read on the Recognition of Faces","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620971652.pdf","xml/psychsci_oa.0956797620971652.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620971654","0956797620971654","Patterns of Genital Sexual Arousal in Transgender Men","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620971654.pdf","xml/psychsci_oa.0956797620971654.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620972116","0956797620972116","Playing With Fear: A Field Study in Recreational Horror","2020","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620972116.pdf","xml/psychsci_oa.0956797620972116.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620972491","0956797620972491","Forgetting the Future: Emotion Improves Memory for Imagined Future Events in Healthy Individuals but Not Individuals With Anxiety","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620972491.pdf","xml/psychsci_oa.0956797620972491.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620975781","0956797620975781","Aging Increases Prosocial Motivation for Effort","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620975781.pdf","xml/psychsci_oa.0956797620975781.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620975785","0956797620975785","Massive Effects of Saliency on Information Processing in Visual Working Memory","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620975785.pdf","xml/psychsci_oa.0956797620975785.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620984464","0956797620984464","The Foreground Bias: Initial Scene Representations Across the Depth Plane","2021","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.0956797620984464.pdf","xml/psychsci_oa.0956797620984464.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/0956797620985832","0956797620985832","Correlates of Hallucinatory Experiences in the General Population: An International Multisite Replication Study","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.0956797620985832.pdf","xml/psychsci_oa.0956797620985832.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211001317","09567976211001317","Frequency-Specific Effects in Infant Electroencephalograms Do Not Require Entrained Neural Oscillations: A Commentary on Köster et al. (2019)","2021","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.09567976211001317.pdf","xml/psychsci_oa.09567976211001317.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211005465","09567976211005465","Acute Psychosocial Stress Increases Cognitive-Effort Avoidance","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.09567976211005465.pdf","xml/psychsci_oa.09567976211005465.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211005767","09567976211005767","The Effect of Replications on Citation Patterns: Evidence From a Large-Scale Reproducibility Project","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.09567976211005767.pdf","xml/psychsci_oa.09567976211005767.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211006432","09567976211006432","Revisiting the Integration Hypothesis: Correlational and Longitudinal Meta-Analyses Demonstrate the Limited Role of Acculturation for Cross-Cultural Adaptation","2021","https://creativecommons.org/licenses/by/4.0/ | https://journals.sagepub.com/page/policies/text-and-data-mining-license","pdf/psychsci_oa.09567976211006432.pdf","xml/psychsci_oa.09567976211006432.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211007414","09567976211007414","Absolute Versus Relative Success: Why Overconfidence Creates an Inefficient Equilibrium","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.09567976211007414.pdf","xml/psychsci_oa.09567976211007414.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211007788","09567976211007788","Boosting Understanding and Identification of Scientific Consensus Can Help to Correct False Beliefs","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.09567976211007788.pdf","xml/psychsci_oa.09567976211007788.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211010718","09567976211010718","Dimensions of Perception: 3D Real-Life Objects Are More Readily Detected Than Their 2D Images","2021","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.09567976211010718.pdf","xml/psychsci_oa.09567976211010718.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211011969","09567976211011969","Seek and Ye Shall Be Fine: Attitudes Toward Political-Perspective Seekers","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.09567976211011969.pdf","xml/psychsci_oa.09567976211011969.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211013045","09567976211013045","Theta-Rhythmic Oscillation of Working Memory Performance","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.09567976211013045.pdf","xml/psychsci_oa.09567976211013045.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211013801","09567976211013801","Lifting the Bar: A Relationship-Orienting Intervention Reduces Recidivism Among Children Reentering School From Juvenile Detention","2021","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.09567976211013801.pdf","xml/psychsci_oa.09567976211013801.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211015941","09567976211015941","A Personal Model of Trumpery: Linguistic Deception Detection in a Real-World High-Stakes Setting","2022","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.09567976211015941.pdf","xml/psychsci_oa.09567976211015941.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211015942","09567976211015942","When Helping Is Risky: The Behavioral and Neurobiological Trade-off of Social and Risk Preferences","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.09567976211015942.pdf","xml/psychsci_oa.09567976211015942.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211016395","09567976211016395","Gender Gaps in Deceptive Self-Presentation on Social-Media Platforms Vary With Gender Equality: A Multinational Investigation","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.09567976211016395.pdf","xml/psychsci_oa.09567976211016395.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211016410","09567976211016410","Predictors of Listening-Related Fatigue Across the Adult Life Span","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.09567976211016410.pdf","xml/psychsci_oa.09567976211016410.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211017870","09567976211017870","Sources of Cognitive Conflict and Their Relevance to Theory-of-Mind Proficiency in Healthy Aging: A Preregistered Study","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.09567976211017870.pdf","xml/psychsci_oa.09567976211017870.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211018618","09567976211018618","The Self in the Mind’s Eye: Revealing How We Truly See Ourselves Through Reverse Correlation","2021","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.09567976211018618.pdf","xml/psychsci_oa.09567976211018618.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211019950","09567976211019950","Little Between-Region and Between-Country Variance When People Form Impressions of Others","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.09567976211019950.pdf","xml/psychsci_oa.09567976211019950.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211024259","09567976211024259","Facial Impressions Are Predicted by the Structure of Group Stereotypes","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.09567976211024259.pdf","xml/psychsci_oa.09567976211024259.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211024260","09567976211024260","Coping With Health Threats: The Costs and Benefits of Managing Emotions","2021","https://creativecommons.org/licenses/by-nc/4.0/","pdf/psychsci_oa.09567976211024260.pdf","xml/psychsci_oa.09567976211024260.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211024535","09567976211024535","How Accurate Are Accuracy-Nudge Interventions? A Preregistered Direct Replication of Pennycook et al. (2020)","2021","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.09567976211024535.pdf","xml/psychsci_oa.09567976211024535.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
"10.1177/09567976211026983","09567976211026983","Time to Pay Attention? Information Search Explains Amplified Framing Effects Under Time Pressure","2022","https://creativecommons.org/licenses/by/4.0/","pdf/psychsci_oa.09567976211026983.pdf","xml/psychsci_oa.09567976211026983.xml","TRUE","TRUE",TRUE,"0.9","2026-06-20"
